J0514-4002A,78.52789,-40.04692
J0514-4407,78.71600,-44.11847
J0517+22,79.29167,22.26667
J0519+44,79.75000,44.00000
J0519+54,80.00000,54.41667
J0519-6932,79.94549,-69.53986
J0520-2553,80.15077,-25.88675
J0521-68,80.43333,-68.58333
J0522-6847,80.59608,-68.78394
B0523+11,81.48520,11.25530
J0525-6607,81.50375,-66.07675
B0525+21,82.21777,22.00111
B0529-66,82.46217,-66.87728
J0532-6639,83.24796,-66.66036
J0532-69,83.01667,-69.76667
J0533+0402,83.35758,4.03347
J0533+67,83.25000,67.00000
B0531+21,83.63322,22.01446
J0534-6703,83.65071,-67.06356
J0535-66,83.91667,-66.86667
J0535-6935,83.75000,-69.58333
B0538-75,84.12829,-75.73242
J0537-69,84.42917,-69.35000
J0537-6910,84.44757,-69.17219
J0538+2817,84.60440,28.28588
J0540+3207,85.15465,32.12703
B0540-69,85.04667,-69.33171
J0540-7125,85.12833,-71.42539
J0542-68,85.64583,-68.26667
B0540+23,85.79025,23.48472
J0543-6851,85.96963,-68.85703
J0544+20,86.05000,20.83333
J0545-03,86.25000,-3.16667
J0546+2441,86.61983,24.68917
J0550+09,87.61667,9.85000
J0554+3107,88.52088,31.12806
J0555+3948,88.75000,39.80000
J0555-7056,88.75771,-70.94600
J0557+1550,89.38104,15.83501
B0559-57,90.19375,-57.94833
B0559-05,90.49576,-5.46404
J0605+37,91.25000,37.00000
J0608+00,92.20417,0.65000
J0609+2130,92.49536,21.50079
J0610-2100,92.55665,-21.00776
J0610+37,92.75000,37.30000
J0611+04,92.82500,4.10000
J0611+1436,92.82770,14.61444
J0611+30,92.81667,30.26667
B0609+37,93.20286,37.36038
J0613-0200,93.43323,-2.01312
J0613+3731,93.30063,37.52731
B0611+22,93.57150,22.51000
J0614-3329,93.54312,-33.49837
J0614+83,93.50000,83.23333
J0621+0336,95.29675,3.61264
J0621+1002,95.34214,10.04409
J0621+25,95.25000,25.00000
J0622+3749,95.54379,37.82044
J0623+0340,95.94483,3.66856
B0621-04,96.08345,-4.41401
J0625+10,96.43750,10.26667
J0627+0649,96.97345,6.83170
J0627+0706,96.93406,7.10925
J0627+16,96.80417,16.20000
J0628+0909,97.15076,9.15386
B0626+24,97.27387,24.26203
J0630-0046,97.61232,-0.76829
J0630+19,97.51667,19.61667
B0628-28,97.70585,-28.57855
J0631+0646,97.96825,6.77061
J0631+1036,97.86468,10.61736
J0633+0632,98.43421,6.54303
J0633+1746,98.47564,17.77025
J0633-2015,98.28692,-20.25197
J0635+0533,98.82500,5.55306
J0636-4549,99.14060,-45.82573
J0636+5129,99.02019,51.48332
J0645+5158,101.49617,51.97081
J0645+80,101.50000,80.15000
J0646+0905,101.62915,9.09703
J0647+0913,101.81533,9.23319
J0652-0142,103.04627,-1.70842
B0643+80,103.31287,80.86673
J0656-2228,104.12586,-22.47376
J0656-5449,104.20413,-54.82081
J0658+0022,104.56337,0.37647
B0656+14,104.95056,14.23931
B0655+64,105.15751,64.30311
J0702-4956,105.66375,-49.94283
J0709-5923,107.38555,-59.39878
J0711+0931,107.90075,9.52361
J0711-6830,107.97579,-68.51317
J0719-2545,109.78075,-25.75006
J0720-3125,110.10401,-31.43058
J0721-2038,110.42877,-20.63529
J0725-1635,111.25168,-16.59606
J0726-2612,111.53383,-26.21058
J0729-1448,112.31854,-14.81022
B0727-18,112.38480,-18.61187
J0733-2345,113.35250,-23.76561
J0734-1559,113.50000,-15.98333
J0735-62,113.84167,-62.96667
J0737-2202,114.43363,-22.03481
J0737-3039A,114.46354,-30.66131
J0737-3039B,114.46354,-30.66131
J0737+69,114.25000,69.23333
B0736-40,114.63470,-40.71137
J0740+41,115.25000,41.06667
J0740+6620,115.19083,66.34268
B0740-28,115.70441,-28.37882
B0743-53,116.25958,-53.85611
J0746-4529,116.74799,-45.49074
J0746+66,116.50000,66.60000
J0749-4247,117.45698,-42.79504
J0750+57,117.50000,57.00000
J0751+1807,117.78815,18.12736
B0751+32,118.66953,32.53228
B0756-15,119.62113,-15.46909
J0804-3647,121.09250,-36.79319
J0806+08,121.52083,8.28333
J0806-4123,121.59750,-41.37525
J0807-5421,121.94660,-54.35735
J0808-3937,122.04846,-39.63136
B0808-47,122.43287,-47.89865
J0812-3905,123.06167,-39.09692
B0809+74,123.74792,74.48492
J0815+0939,123.78657,9.66408
J0818-3049,124.70542,-30.82528
